Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Emerging Technologies,Energy Data & Design/Decision Tools,Oak Ridge National Laboratory,Wufi Basement Module,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/wufi-basement-module,"Oak Ridge National Laboratory (ORNL) aims to identify energy-efficient, durable foundation insulation systems—customized to climate zone, soil type, and insulation system—that do not accumulate moisture. WUFI has been deployed and validated for decades worldwide as a tool to predict heat and moisture transfer in building envelopes, and it has been successfully adopted for use in the United States by ORNL.",Lab Award,Inactive
Residential Buildings Integration,,U.S. Department of Energy,Zero Energy Ready Home Program,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/zero-energy-ready-home-program,"The Zero Energy Ready Home program recognizes home builders who apply proven innovations and best practices from the U.S. Department of Energy’s E’s Building America research program along with other improvements that help ensure safe, comfortable, healthy, and durable home performance.",Direct Funded,Active
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,City of Seattle,Building Tune-Up Accelerator,Seattle,WA,47.60621,-122.332071,http://www.energy.gov/eere/buildings/downloads/building-tune-accelerator,"The City of Seattle will engage with building owners, managers, and service providers to develop market expertise to train local building operations professionals to more effectively tune-up existing buildings, which could reduce city energy costs by $1.5 million annually. Professionals will tune-up 70-80 buildings with 10-20% energy savings, and complete capital retrofits to 20-30 buildings providing 35% energy savings, for a total of 1 billion kBtu annual savings.",Funding Opportunity,Inactive
Emerging Technologies,,Pacific Northwest National Laboratory,Buildings of the Future Scoping Study,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/buildings-future,"The U.S. Department of Energy (DOE) and the Pacific Northwest National Laboratory are developing a vision for future buildings to help advance program planning, prepare the right strategies to attain this vision, and inspire the development of new, high-impact technologies for the built environment. Instead of being consumers of resources, future buildings will become resource assets that can adapt to environmental conditions and occupant needs daily, seasonally, and over their lifecycle.",Lab Award,Inactive
Commercial Buildings Integration,Energy Data & Design/Decision Tools,National Renewable Energy Laboratory,BuildingSync and SEED Development and Deployment,Golden,CO,39.755543,-105.2211,http://energy.gov/eere/buildings/downloads/buildingsync-and-seed-development-and-deployment,"The National Renewable Energy Laboratory is providing programming support for the Standard Energy Efficiency Data platform, which manages energy performance data of large groups of buildings; and also working on BuildingSync, a standardized auditing language for commercial building energy data. This work will help improve the overall user experience, fill a need for a standard data specification, and help with creating data format consistency across audit software applications.",Lab Award,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Window Covering Manufacturing Association,Certification and Rating of Attachments for Fenestration Technologies (CRAFT),New York,NY,40.712784,-74.005941,http://energy.gov/eere/buildings/downloads/attachments-energy-ratings-council,"The Window Covering Manufacturing Association will create the Attachments Energy Rating Council to develop an independent rating, certification, labeling, and performance verification program for window attachments. This program will help drive market penetration of energy-saving products and further innovation in the industry.",Funding Opportunity,Inactive
Commercial Buildings Integration,Technology & Systems Validation,Northeast Energy Efficiency Partnerships,Commercial Advanced Lighting Control (ALC) Demonstration and Deployment,Lexington,MA,42.443037,-71.228964,http://energy.gov/eere/buildings/downloads/northeast-energy-efficiency-partnerships-advanced-lighting-controls,"The Northeast Energy Efficiency Partnerships will demonstrate advanced lighting controls (ALCs), which turn off or dim lights when they are not in use, in 10 buildings in order to address barriers to ALC adoption. Installing ALC systems in all commercial buildings would save approximately 1,053 TBtu of energy or $10.4 billion/year.",Funding Opportunity,Inactive
Building Energy Codes,,Pacific Northwest National Laboratory,Commercial Codes Controls Research,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/commercial-codes-controls-research,The Pacific Northwest National Laboratory will examine the usage and associated energy savings of commercial building code controls. Increasing compliance with energy code controls requirements will help ensure predicted energy savings are fully realized.,Lab Award,Inactive
Building Energy Codes,,Institute for Market Transformation,Commercial Field Study,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/commercial-field-study,"The Institute for Market Transformation (IMT) will conduct energy code field studies in Florida, Nebraska, Iowa, and Nevada to measure the impact of energy codes on commercial building energy efficiency, and identify opportunities for savings through increased compliance.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances","Maryland Energy and Sensor Technologies, LLC",Compact Thermoelastic Cooling System,College Park,MD,38.989697,-76.93776,http://energy.gov/eere/buildings/downloads/compact-thermoelastic-cooling-system,"Maryland Energy and Sensor Technologies, LLC will develop a compact, high-efficiency thermoelastic cooling system. This next-generation HVAC technology will have low environmental impact and a small carbon footprint and could lead to substantial efficiency gains in building heating and cooling.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,NextEnergy,Comprehensive Lighting Controls Program,Detroit,MI,42.331427,-83.045754,http://www.energy.gov/eere/buildings/downloads/comprehensive-lighting-controls-program,"NextEnergy will reduce market barriers to adoption of lighting controls solution to spur market adoption. This will be achieved through demonstrations, consumer education, and utility incentive adjustment. NextEnergy and partners will train over 100 contractors in advanced lighting controls and simplified installation methods and develop a model for streamlined incentives for lighting controls.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,BlocPower,Crowdsourced Microfinance for Energy Efficiency in Underserved Communities,New York,NY,40.712784,-74.005941,http://energy.gov/eere/buildings/downloads/blocpower-crowdsourced-microfinance-energy-efficiency-underserved,"BlocPower will develop a crowd-sourcing website to help market, finance, and install energy efficiency retrofits for 1,500 small buildings in low-income communities across the country. These efforts could help these communities achieve notable energy savings and reduce their carbon emissions.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,MoJo Labs Inc.,Daylighting Digital Dimmer,Longmont,CO,40.167207,-105.101927,http://energy.gov/eere/buildings/downloads/daylighting-digital-dimmer,MoJo Labs will produce a commercial product that uses digital personal devices for advanced individual user controls and scheduling. This technology would allow users to conveniently and easily reduce their energy consumption.,Small Business Innovation Research,Inactive
