Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
"Fifteen Percent Efficient (Magnesium, Zinc) Cadmium Telluride Solar Cells with 1.7 eV Bandgap for Tandem Applications ",Arizona State University,EE0007552,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$400,000 ",Tempe,AZ,85287-6011,node/2040130,33.42551,-111.940005,Zachary Holman,"This project aims to demonstrate solar cells based on wide bandgap cadmium telluride alloys that will eventually enable the fabrication of highly efficient tandem photovoltaic cells in combination with a silicon bottom cell. The photovoltaic market is dominated by silicon and cadmium telluride technologies, which have become low-cost and reliable in the last decade but are nearing their individual efficiency limits. This project works to boost the eventual efficiency of photovoltaic systems by beginning the process of allowing cadmium telluride and silicon to function together to efficiently harvest the solar spectrum, potentially enabling a 20 percent decrease in the cost of installed systems."
Monolithic Silicon Module Manufacturing at Under $0.40 per Watt,Arizona State University,EE0007538,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$800,000 ",Tempe,AZ,85287-6011,node/2040110,33.42551,-111.940005,Zachary Holman,"This project aims to lower the cost of photovoltaic (PV) electricity generation in fewer than five years to $0.04 per kilowatt hour through the development of a photovoltaic module that is based on back-contact silicon solar cells, which have interdigitated metal fingers on their rear sides and no metal on their front sides. The cells in this project will not have any metal; instead, they will be interconnected with a ""flex-circuit"" consisting of two layers of aluminum foil separated by an insulating spacer layer. This design reduces the amount of silver or copper used in modules and eliminates solder points that are prone to failure. Researchers will focus on cell interconnection, module assembly, module reliability testing, and techno-economic analysis."
Non-Contact Simultaneous String-Modules I-V Tracer,Arizona State University,EE0008165,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$709,999 ",Tempe,AZ,85287-6011,node/2619924,33.418316,-111.931194,Owen Hildreth,This project is developing a non-contact module-level I-V tracer for the rapid and accurate characterization of photovoltaic modules under operating conditions. This tracer will enable accurate degradation science and fielded performance monitoring to be conducted on modules under operation.
Operando X-ray Nanocharacterization of Polycrystalline Thin Film Modules,Arizona State University,EE0008163,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$1,600,000 ",Tempe,AZ,85287-5706,node/2619924,33.418316,-111.931194,Mariana Bertoni,"This project is developing an X-ray based characterization framework that enables module evaluation cadmium telluride and copper indium gallium selenide cells under a variety of operating conditions with nanoscale resolution. Researchers are using several lab-based mapping and synchrotron-based techniques (fluorescence, diffraction, and spectroscopy) coupled with the collection of IV curves in custom-designed stages capable of handling different temperatures, atmospheres, and illumination conditions to enable higher module efficiencies, longer warranties, and lower degradation rates."
Plant and Module Designs for Uniform and Reduced Operating Temperature,Arizona State University,EE0007548,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$899,316 ",Tempe,AZ,85287-6011,node/2040122,33.42551,-111.940005,Govindasamy Tamizhmani,"This project intends to identify and evaluate thermally conductive and radiative but electrically insulating backsheets, which can be used by module manufacturers to reduce future solar levelized cost of energy values. Based on the typical temperature coefficients of standard multicrystalline modules, it is possible for conventional rooftop crystalline silicon modules to lose as much as 30 percent of power and the open rack crystalline silicon modules to lose as much as 20 percent power on hot summer days in sunny and/or desert locations. This project intends to reduce the levelized cost of solar energy by lowering module operating temperatures, reducing reliability failures, and reducing degradation rates to improve system lifetimes."
Pushing the Limits of Silicon Heterojunction Solar Cells: Demonstration of 26% Efficiency and Improving Electrical Yield,Arizona State University,EE0007540,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$837,044 ",Tempe,AZ,85287-6011,node/2040114,33.42551,-111.940005,Stuart Bowden,This project examines the manufacturability of n-type industrial silicon heterojunction cells and develops methods to improve energy yield and increase the appeal of this type of cell to manufacturers. The research performed will help to improve cell efficiency by two percent and reduce the cost of the cells by improving electrical yield based on a range of new processing improvements. The project also aims to demonstrate the feasibility of using thinner cells to increase the lifetime of the wafer and achieve a 26 percent record efficiency. The knowledge gleaned from this research is expected to help improve the manufacturing of silicon heterojunction cells in the next five years.
Quantum Energy and Sustainable Solar Technologies,Arizona State University,EE0007758,Photovoltaics,node/790881,Funding Opportunity,"Engineering Research Centers (ERC): Partnerships in Transformational Research, Education and Technology - A Focused Call for Nanosystems ERCs",Engineering Research Centers,Active,2011,"$17,487,800 ",Tempe,AZ,85280-0001,node/2013359,33.43,-111.93,Christiana Honsberg,"QESST is an Engineering Research Center sponsored by the National Science Foundation and the Solar Energy Technologies Office. Launched in 2011 and based out of Arizona State University, QESST focuses on advancing photovoltaic science, technology, and education in order to transform the existing electricity generation system. The center's primary research areas are silicon cells and modules, tandem PV cell architectures on traditional silicon utilizing thin-film or III-V absorbers, and improving the performance of PV using test beds that can demonstrate manufacturability, integration, and sustainability of solar technologies. In addition to this research, QESST develops solar and PV education programs for graduate and undergraduate students, K-12 students and teachers, as well as outreach programs for the general public. QESST is designed to set the solar industry on a path to terawatt levels of installed PV generation in 15 to 20 years."
Solution for Predictive Physical Modeling in Cadmium Telluride and Other Thin-Film Photovoltaic Technologies,Arizona State University,EE0007536,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$812,998 ",Tempe,AZ,85287-6011,node/2040102,33.42551,-111.940005,Dragica Vasileska,"This project aims to develop a software tool to enable a more accurate interpretation of thin-film photovoltaic device performance and material properties, with the goal of enabling predictive device design. The software includes a modeling tool that connects atomic diffusion and drift to device performance. This model will allow researchers to simulate recombination losses over time in II-VI absorber materials, such as cadmium telluride, using different doping profiles, process and stress conditions, and grain boundary or interface geometries."
Sound Assisted Low Temperature (SALT) Spalling: Upscaling and Throughput,Arizona State University,EE0007367,Photovoltaics,node/790888,Funding Opportunity,Photovoltaic Research and Development: Small Innovative Projects in Solar,PVRD SIPS,Inactive,2016,"$222,519 ",Tempe,AZ,85280-0001,node/1875986,33.43,-111.93,Mariana Bertoni,"Exfoliating a wafer from a silicon block, known as spalling, has been shown to be a promising kerfless, or waste-saving, technique in wafer production. This project is researching an early-stage, novel spalling process called sound-assisted low-temperature spalling to address defects, wafer thickness, and surface planarity through the use of acoustic waves to sharpen and facilitate crack formation during the spalling process."
Thin Silicon Solar Cells: A Path To 35% Shockley-Queisser Limits,Arizona State University,EE0006335,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency 2,F-PACE 2,Inactive,2013,"$3,496,535 ",Tempe,AZ,85280-0001,node/790966,33.43,-111.93,Stuart Bowden,"The goal of this project is to fabricate a novel device structure for ultra-thin crystalline silicon (c-Si) solar cells based on carrier selective contacts. Arizona State University is leading a collaborative effort with the Massachusetts Institute of Technology, the California Institute of Technology, the University of New South Wales, and the Swiss Federal Institute of Technology to achieve this goal. A series of optical and material innovations will be developed that result in novel ultra-thin silicon solar cells with targeted efficiencies of 29%. If successful, such a cell using carrier selective contacts could approach the Shockley&ndash;Queisser (SQ) limit for silicon using a potentially commercializable device structure."
Unified Numerical Solver for Device Metastabilities in CdTe Thin-Film PV,Arizona State University,EE0006344,Photovoltaics,node/790881,Funding Opportunity,Physics of Reliability: Evaluating Design Insights for Component Technologies in Solar,PREDICTS,Inactive,2013,"$1,417,100 ",Tempe,AZ,85280-0001,node/791046,33.43,-111.93,Dragica Vasileska,"The goal of this project is to combine innovative silicon surface passivation and all aluminum contacts to create a new processing path towards cost-effective >20% efficient crystalline silicon solar cells. The surface passivation enables lower contact resistance between the metal/silicon, allowing less metal to be used. Cost would be further reduced by replacing silver with aluminum. Silver is the typical contact material in silicon solar cells and it is the second most expensive input material in the cell. In addition, the surface passivation of grains in multi-crystalline silicon will be explored in hopes of increasing the efficiency of cells made on this substrate."
